Modalità ;Informazioni cronologiche;1. Qual è la tua età?;2. Qual è il tuo genere?;3. Qual è il tuo livello di istruzione?;"4. Valuta su una scala da 1 a 10 quanto ritieni che la tua età influenzi l'interesse per esperienze di realtà virtuale, dove 1 significa ""per nulla"" e 10 ""moltissimo""";5. Su una scala da 1 a 10, quanto pensi che il tuo percorso formativo o le tue conoscenze pregresse influenzino la tua comprensione delle esperienze VR educative?;"6. Quanto frequentemente utilizzi tecnologie di realtà virtuale o esperienze immersive? Usa una scala da 1 a 10 per indicare la tua frequenza, dove 1 significa ""mai"" e 10 ""molto frequentemente"".";7. Quanto hai trovato interessante l'esperienza nel museo VR con gli avatar AI? Valuta su una scala da 1 a 10;8. Ritieni che le spiegazioni fornite dagli avatar AI siano state chiare e utili? Usa una scala da 1 a 10 per indicare il tuo grado di chiarezza percepita;9. Durante l'esperienza VR, hai percepito difficoltà nel mantenere l'attenzione? Su una scala da 1 a 10;10. Quanto ritieni che la ricostruzione virtuale degli ambienti educativi storici sia stata efficace per trasmettere informazioni educative? Usa una scala da 1 a 10 per indicare la tua percezione.;11. Qual è stato il tuo livello di coinvolgimento emotivo durante l'esperienza VR? Valuta su una scala da 1 a 10;12. Quali ulteriori funzionalità vorresti vedere in una futura versione del museo VR?;13. Quali aspetti dell'esperienza VR con gli avatar AI hai trovato più utili per l'apprendimento?;14. Quanto riterresti utile l'uso della VR con avatar AI per spiegare l'evoluzione degli strumenti educativi rispetto alla visita museale tradizionale?;1. Chi era Duilio Cambellotti, che ti ha guidato nella sala della scuola contadina dell'Agro romano?;2.  Quale ruolo aveva il teatrino nella scuola di inizio XX secolo ?;3. Giuseppe Lombardo Radice, che ti ha accompagnato nell'area della scuola popolare, è noto per:;4.  A cosa serviva il banco della scuola rurale di Marcucci ?;5. La scuola contadina dell'Agro romano, presentata da Cambellotti, aveva come obiettivo principale:;6. Cosa rappresenta la bambola di pelle scura conservata al museo ;7. Giuseppe Lombardo Radice collaborò strettamente con:;8. A cosa serve il modellino della fornace esposto al museo ;9. L'avatar di Pinocchio ha presentato la letteratura per l'infanzia come strumento per:
VR;21/10/2025 00:17;40;F;Laurea triennale;3;9;7;8;6;1;8;10;Incontri con avatar storici e visione a raggi x degli oggetti;Altro;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Serviva solo per gli esami finali;Promuovere l'arte nelle campagne;Un giocattolo moderno per promuovere l'inclusività;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;17/08/2025 00:18;31;M;Diploma superiore;6;6;3;6;7;8;10;9;Esperienze narrative e visione a raggi x degli oggetti;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;La riforma universitaria italiana;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Maria Montessori nel metodo educativo;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Apprendimento della grammatica
VR;19/07/2025 00:18;57;F;Diploma superiore;6;6;3;6;9;10;3;9;Interazione con strumenti antichi e sincronizzazione con l'app mobile;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Angelo Celli nella lotta alla malaria;A conservare oggetti antichi;Sviluppo delle abilità matematiche
VR;23/07/2025 00:19;53;M;Diploma superiore;1;6;3;8;10;8;3;5;Tracce audio storiche e visite notturne simulate;Elementi interattivi;10;Un pedagogo montessoriano;Serviva solo per intrattenere i bambini durante le pause;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Sviluppo delle abilità matematiche
VR;29/11/2025 00:20;26;F;Diploma superiore;8;7;8;9;9;4;8;2;Esperienze narrative e creazione del proprio avatar;Elementi interattivi;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;28/10/2025 00:20;20;F;Diploma superiore;8;8;2;7;7;8;9;6;Scenari animati e modalità fotografica;Elementi interattivi;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;L'introduzione delle tecnologie in classe;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Semplice intrattenimento
VR;27/10/2025 00:21;64;F;Laurea magistrale;7;3;4;9;7;10;3;8;Visite in tempo reale con amici e visione storica evolutiva;Elementi interattivi;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;01/06/2025 00:21;46;M;Laurea magistrale;4;7;3;6;8;8;9;7;Chat con esperti e accesso a documentari;Interazioni con gli avatar;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento ludico per le famiglie benestanti;Aver inventato il metodo Montessori;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Creare teatri rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;08/06/2025 00:22;43;F;Laurea magistrale;10;9;2;8;9;7;7;2;Integrazione con la realtà fisica e domande aperte guidate;Elementi interattivi;9;Un fondatore di scuole elementari;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;La riforma universitaria italiana;Serviva solo per gli esami finali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Sviluppo delle abilità matematiche
VR;08/11/2025 00:22;68;M;Diploma superiore;6;3;3;9;8;7;9;8;Modalità realtà mista e esperienze narrative;Interazioni con gli avatar;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento ludico per le famiglie benestanti;Aver inventato il metodo Montessori;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Creare teatri rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Duilio Cambellotti nelle decorazioni;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;01/11/2025 00:23;46;M;Diploma superiore;9;3;8;8;8;7;6;10;Esperienze in prima persona e accesso offline;Interazioni con gli avatar;9;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;Lo sviluppo della scuola attiva e popolare;Serviva solo per gli esami finali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A decorare la sala espositiva;Formazione morale e sociale dei bambini
VR;27/09/2025 00:24;66;M;Laurea magistrale;4;6;1;8;8;8;10;3;Accesso a documentari e gamification educativa;Ricostruzione ambienti;8;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A riscaldare realmente le aule del museo;Formazione morale e sociale dei bambini
VR;02/10/2025 00:24;56;F;Laurea magistrale;5;4;4;6;6;2;9;9;Visite notturne simulate e accesso a documenti d'archivio;Altro;10;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;La riforma universitaria italiana;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;08/09/2025 00:25;42;F;Laurea triennale;9;2;4;9;8;9;10;10;Tracce audio storiche e musica ambientale storica;Altro;7;Un illustratore e scenografo legato al mondo rurale;Serviva solo per intrattenere i bambini durante le pause;La riforma universitaria italiana;Serviva solo per gli esami finali;Creare teatri rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;26/09/2025 00:25;48;F;Laurea triennale;9;7;4;9;9;6;9;10;Supporto per visori diversi e esplorazione libera in stile open world;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;19/08/2025 00:26;21;F;Diploma superiore;10;7;4;8;6;7;9;9;Collezioni temporanee interattive e percorsi personalizzati;Elementi interattivi;9;Un pedagogo montessoriano;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;L'introduzione delle tecnologie in classe;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;13/10/2025 00:26;50;M;Diploma superiore;10;8;10;8;8;9;9;8;Accesso a documentari e ricostruzioni 3d dettagliate;Elementi interattivi;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento ludico per le famiglie benestanti;Lo sviluppo della scuola attiva e popolare;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Creare teatri rurali;Un oggetto di artigianato africano importato per il commercio;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;09/11/2025 00:27;40;F;Laurea triennale;9;7;2;7;9;9;7;3;Tecnologia vocale e supporto per visori diversi;Elementi interattivi;9;Un pedagogo montessoriano;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Duilio Cambellotti nelle decorazioni;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;19/07/2025 00:28;63;F;Diploma superiore;8;5;1;7;8;7;1;9;Possibilità di fare domande e simulazioni storiche in tempo reale;Interazioni con gli avatar;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;L'introduzione delle tecnologie in classe;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un giocattolo moderno per promuovere l'inclusività;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;08/09/2025 00:28;32;F;Diploma superiore;8;8;8;10;8;10;4;7;diminuire il malessere;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;11/10/2025 00:29;26;M;Laurea triennale;6;6;2;7;8;8;8;9;risolvere il senso di nausea;Ricostruzione ambienti;9;Un illustratore e scenografo legato al mondo rurale;Serviva solo per intrattenere i bambini durante le pause;L'introduzione delle tecnologie in classe;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Una bambola tradizionale italiana;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;17/09/2025 00:29;23;M;Diploma superiore;9;1;1;7;7;9;2;7;fare qualcosa per risolvere la nausea;Interazioni con gli avatar;7;Un pedagogo montessoriano;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Una bambola tradizionale italiana;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Apprendimento della grammatica
VR;11/06/2025 00:30;53;M;Laurea magistrale;6;8;1;10;10;10;1;9;risolvere il malore;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;Lo sviluppo della scuola attiva e popolare;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;23/09/2025 00:30;51;M;Diploma superiore;9;6;1;9;8;2;10;9;Accesso a documentari;Altro;9;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;Lo sviluppo della scuola attiva e popolare;Serviva solo per gli esami finali;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A decorare la sala espositiva;Sviluppo delle abilità matematiche
VR;30/09/2025 00:31;62;F;Laurea magistrale;3;3;4;9;10;10;2;5;Visite in tempo reale con amici e visione storica evolutiva;Interazioni con gli avatar;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Sviluppo delle abilità matematiche
VR;25/11/2025 00:32;48;M;Laurea magistrale;8;2;2;9;8;4;6;9;Modalità esperto e guide virtuali parlanti;Altro;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;L'introduzione delle tecnologie in classe;Serviva solo per gli esami finali;Promuovere l'arte nelle campagne;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Sviluppo delle abilità matematiche
VR;16/09/2025 00:32;28;F;Diploma superiore;2;9;4;8;7;9;7;8;Esperienze narrative e creazione del proprio avatar;Ricostruzione ambienti;7;Un pedagogo montessoriano;Era uno strumento ludico per le famiglie benestanti;Aver inventato il metodo Montessori;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Sviluppo delle abilità matematiche
VR;07/06/2025 00:33;36;F;Diploma superiore;1;9;7;9;6;7;8;8;Modalità cooperativa e interazione con strumenti antichi;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;08/11/2025 00:33;58;F;Laurea magistrale;9;7;1;10;10;10;4;7;Accesso a documentari e gamification educativa;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A riscaldare realmente le aule del museo;Formazione morale e sociale dei bambini
VR;08/08/2025 00:34;30;M;Diploma superiore;9;8;2;9;10;9;10;8;Gamification educativa e tecnologia vocale;Elementi interattivi;9;Un fondatore di scuole elementari;Era utilizzato esclusivamente per le feste scolastiche;La riforma universitaria italiana;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Duilio Cambellotti nelle decorazioni;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;19/07/2025 00:34;29;M;Diploma superiore;10;8;1;6;10;9;10;3;Accesso offline e modalità realtà mista;Altro;8;Un illustratore e scenografo legato al mondo rurale;Era utilizzato esclusivamente per le feste scolastiche;Lo sviluppo della scuola attiva e popolare;Serviva solo per gli esami finali;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;18/09/2025 00:35;64;F;Laurea magistrale;8;7;3;6;8;8;5;5;Tecnologia vocale e supporto per visori diversi;Elementi interattivi;9;Un politico dell'epoca fascista;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;La riforma universitaria italiana;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Sviluppo delle abilità matematiche
VR;04/09/2025 00:36;46;M;Laurea triennale;9;6;1;9;6;1;2;8;Chat con esperti e accesso a documentari;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;05/09/2025 00:36;67;M;Diploma superiore;8;9;1;7;10;7;8;3;Modalità accessibile e riconoscimento facciale per emozioni;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Aver inventato il metodo Montessori;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A riscaldare realmente le aule del museo;Formazione morale e sociale dei bambini
VR;10/08/2025 00:37;67;F;Diploma superiore;9;6;6;9;6;5;7;7;Interazioni con altri visitatori e modalità fotografica;Altro;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;La riforma universitaria italiana;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Un giocattolo moderno per promuovere l'inclusività;Maria Montessori nel metodo educativo;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;06/06/2025 00:37;34;F;Laurea magistrale;5;9;2;7;9;8;9;9;Tracce audio storiche e visite notturne simulate;Interazioni con gli avatar;9;Un fondatore di scuole elementari;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;L'introduzione delle tecnologie in classe;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Maria Montessori nel metodo educativo;A riscaldare realmente le aule del museo;Formazione morale e sociale dei bambini
VR;10/07/2025 00:38;66;F;Diploma superiore;8;8;4;6;6;9;2;9;Esperienze multisensoriali e visite notturne simulate;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;02/09/2025 00:39;47;F;Laurea magistrale;6;6;2;9;8;9;8;6;Ricerca vocale e visite notturne simulate;Altro;8;Un fondatore di scuole elementari;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Una bambola tradizionale italiana;Giovanni Gentile nella riforma scolastica;A riscaldare realmente le aule del museo;Semplice intrattenimento
VR;01/09/2025 00:39;43;M;Diploma superiore;9;8;4;7;7;9;7;10;Visite notturne simulate e sincronizzazione con l'app mobile;Ricostruzione ambienti;7;Un politico dell'epoca fascista;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Formare artisti e illustratori;Un giocattolo moderno per promuovere l'inclusività;Maria Montessori nel metodo educativo;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;07/06/2025 00:40;47;F;Diploma superiore;10;9;6;7;7;7;4;8;Visite notturne simulate e accesso a documenti d'archivio;Elementi interattivi;7;Un pedagogo montessoriano;Era uno strumento ludico per le famiglie benestanti;Lo sviluppo della scuola attiva e popolare;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Promuovere l'arte nelle campagne;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Sviluppo delle abilità matematiche
VR;03/11/2025 00:40;48;M;Laurea triennale;9;8;2;9;6;5;8;8;Visite notturne simulate e interazione con strumenti antichi;Interazioni con gli avatar;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Serviva solo per gli esami finali;Formare artisti e illustratori;Una bambola tradizionale italiana;Duilio Cambellotti nelle decorazioni;A decorare la sala espositiva;Formazione morale e sociale dei bambini
VR;15/06/2025 00:41;50;F;Diploma superiore;10;7;2;6;9;7;9;2;Contenuti adattivi all'età e esperienze tematiche;Elementi interattivi;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Duilio Cambellotti nelle decorazioni;A conservare oggetti antichi;Formazione morale e sociale dei bambini
VR;24/07/2025 00:42;30;F;Laurea magistrale;9;9;2;10;8;7;3;8;Accesso a documentari e ricostruzioni 3d dettagliate;Interazioni con gli avatar;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Serviva solo per gli esami finali;Creare teatri rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Sviluppo delle abilità matematiche
VR;17/06/2025 00:42;67;M;Laurea magistrale;5;6;3;7;10;10;2;4;Integrazione con la realtà fisica e domande aperte guidate;Ricostruzione ambienti;7;Un pedagogo montessoriano;Era uno strumento ludico per le famiglie benestanti;Lo sviluppo della scuola attiva e popolare;Serviva solo per gli esami finali;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;13/11/2025 00:43;19;M;Diploma superiore;9;8;6;10;6;10;3;7;Scenari animati e modalità fotografica;Altro;9;Un politico dell'epoca fascista;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Aver inventato il metodo Montessori;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Duilio Cambellotti nelle decorazioni;A riscaldare realmente le aule del museo;Sviluppo delle abilità matematiche
VR;20/07/2025 00:43;40;F;Diploma superiore;9;3;2;7;8;2;8;1;Scenari animati e esperienze in prima persona;Elementi interattivi;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Angelo Celli nella lotta alla malaria;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Apprendimento della grammatica
